video_id,title,published_date
rdT_cuR0Rrw,Vizz-AI Teaser launch | Your own personal AI tutor,2025-12-15T16:12:29Z
GA2BQ9vIBnE,Step‐by‐Step Nano VLM Workflow  #vizuara #nanovlm,2025-12-13T12:19:57Z
Rt4oRES1QLM,Introduction to Swin transformer,2025-12-13T05:30:28Z
Yyir7-OAnlA,Lecture 2 - Variational Autoencoders Explained From Scratch | Principles of Diffusion Models,2025-12-10T06:30:17Z
5sQnmK7zhcE,CLIP - The Paper Everyone Talks About #visiontransformer #vizuara,2025-12-04T07:11:10Z
sgt5Sff4iDA,Never Compare GPT vs Claude vs Gemini Again   #Intelligentrouter #dynaroute #vizuara,2025-12-02T05:30:54Z
Azwh3lEEsKg,How Our Brain (and AI) Links Text &amp; Images #visiontransformer #vizuara #ai,2025-12-01T07:38:17Z
i3-bjM3VhJQ,Transformers architecture mastery | Full 7 hour compilation,2025-11-29T05:30:32Z
vH5azEJ7HqE,Class Embedding Token - The Key to Vision Transformer Classification,2025-11-26T11:38:02Z
IIvgDRYdQko,Dissecting BERT paper,2025-11-15T05:30:06Z
TJzu36kqwkE,Contrastive learning for Vision Language Models,2025-11-12T09:30:06Z
_6CcOpIedbg,The Principles of Diffusion Models - New Course Launch,2025-11-12T06:30:06Z
mftKGh7Bgp4,A 16 years old | Co-authoring a book: Build A DeepSeek Model From Scratch,2025-11-12T05:50:12Z
0m2afqwrv9c,AI High-school research program,2025-11-11T04:30:01Z
CYJVpDtpIOI,Machine Learning in Production | All about CI/CD | Part 1,2025-11-02T06:30:06Z
VEmrEo0ZDw8,Let us hand-calculate how GPT-3 has a total of 175B parameters | Transformers for Vision,2025-11-01T08:30:06Z
6XeLGMyKszg,"Transforming Classrooms with AI | Episode 2: Interview with Orbis Schools Pune, Director Principal",2025-10-27T08:45:00Z
CJSYo2Mw8R0,Understanding causal attention or masked self attention | Transformers for vision series,2025-10-25T08:30:06Z
EBsaY9vKo-M,"Transforming Classrooms with AI | Episode 1: Interview with City Pride School, Pune Director",2025-10-25T06:21:33Z
4Hf5Idw03Fc,Transforming Classrooms in India with AI,2025-10-24T07:00:07Z
aL2Qr5FXxko,"Q, K, V intuition | Introduction to self attention with trainable weights",2025-10-18T09:30:06Z
NUBqwmTcoJI,Introduction to self attention | Implementing a simplified self-attention | Transformers for Vision,2025-10-12T05:30:06Z
EHFuV8LBURs,Machine Learning in Production | Build ML Web Apps using Flask,2025-10-09T11:30:17Z
uz1srt2WJKg,Build a small language model from scratch: Assemble the model architecture,2025-10-08T12:31:22Z
VM2c-E1YGiw,From RNNs to Transformers - Introduction to attention mechanism | Transformers for Vision,2025-10-08T09:30:06Z
3AZWFJQ2o-o,Transformers for Vision and Multimodal LLMs | New bootcamp launch,2025-09-21T06:30:06Z
XPiMpURCh1M,Build and deploy Computer Vision Model for fall detection | Roboflow + Streamlit | Physical Safety,2025-09-17T11:30:06Z
bWlhmJYj11k,Simple Demo: Google&#39;s NotebookLM from Scratch,2025-09-17T08:46:32Z
t6ojK2ldp5g,Roboflow - Best way to build end-to-end computer vision pipeline,2025-09-11T11:30:06Z
9KnARRqbkzY,YOLO + OCR for License Plate Recognition | Computer Vision Hands-on Project,2025-09-09T12:04:26Z
bLDlwcl6hbA,I pre-trained Gemma3 270M from scratch,2025-08-25T12:30:06Z
9KvngtchNww,UNet: the 2015 model with 118k+ citations that changed segmentation - And how GenAI brought it back,2025-08-18T11:30:06Z
9HM1D8Qhe8A,DynaRoute: Vizuara&#39;s AI Router That Cuts LLM Costs by 70% While Maintaining Performance,2025-08-15T04:30:06Z
qphmpZpI260,Introduction to Mask R-CNN for image segmentation | Computer Vision bootcamp,2025-08-14T11:30:06Z
DIOohqsGMdA,Machine Learning in Production | How to write Modular Code,2025-08-12T12:30:06Z
MmWPYKF2_A0,Object tracking and Counting | OpenCV + YOLO | Computer Vision Hands-on bootcamp,2025-08-07T12:49:11Z
PKOVEjvIXRQ,Launch of GPT-OSS: OpenAI&#39;s first open source model after GPT-2,2025-08-06T05:13:30Z
VnBIfkgsqlY,"3-in-1 LIVE hands-on bootcamps | Language, Reasoning, Vision",2025-07-30T06:46:30Z
bux-XqtJ7ak,"3-in-1 Hands On LIVE AI bootcamps by MIT, Purdue PhDs | Language, Reasoning, Vision",2025-07-30T06:46:24Z
PYVFfyiYcC8,Build Small Language Model (SLM) from scratch | 3 day LIVE bootcamp by MIT PhD,2025-07-28T05:49:50Z
A-JMK8AYy28,Hands-on Computer Vision Bootcamp [LIVE] by MIT PhD,2025-07-28T04:52:17Z
hI9LZ4K_jFk,Hands-on Computer Vision Bootcamp [LIVE] by MIT PhD,2025-07-28T04:47:18Z
5VkYBtrDeS0,What exactly is a knowledge graph?,2025-07-24T04:30:06Z
fAGaZMuZHEs,Accuracy vs Recall in ML model evaluations,2025-07-22T04:30:34Z
PrkgTtQXkQk,"AI high school research program [grades 8-12] | By MIT, Purdue PhDs",2025-07-21T11:08:04Z
DDD6OZbCqok,"AI high school research program [grades 8-12] | By MIT, Purdue PhDs",2025-07-21T10:52:05Z
A7l-nUG0L7s,What exactly is &quot;epoch&quot;? #ml #ai #neuralnetworks,2025-07-20T04:30:06Z
MO7sTj04fjc,What is one pixel attack? #neuralnetworks #ai #ml,2025-07-19T04:30:13Z
DdsVwTodycw,Coding a Vision Transformer from scratch using PyTorch,2025-07-17T09:30:06Z
